name	area_name	address
00_Göteborg_Totalt_och_Bakgrundsdata	99_ANNAN_REGI	
01_Gunnared	99_ANNAN_REGI	
01 SKANSEN	Centrum pedagogisk omsorg	
02_Lärjedalen	99_ANNAN_REGI	
03 HEBBELELLE	Centrum pedagogisk omsorg	
04 KRONAN	Centrum pedagogisk omsorg	
05 LOPPAN	Centrum pedagogisk omsorg	
11_Älvsborg	99_ANNAN_REGI	
15_Södraskärgården	99_ANNAN_REGI	
21_Kärra-Rödbo	99_ANNAN_REGI	
Ädelstenen 2	Centrum område 1	
Adventurers	Fristående förskolor	
Älghagsgatan 4 B förskola	Majorna-Linné	
Älven	Centrum område 1	
Ametisten	Hisingen område 1	
Ångan	Västra Göteborg område 1	
Änglagårdens förskola	Fristående förskolor	
Änglagårdens förskola.pdf	Fristående förskolor	
Anima	Centrum område 1	
Ankaret	Västra Göteborg område 1	
ANNAN_REGI	N135_ Majorna-Linne	
Apelsingatan 15 förskola i Ur och Skur	Sydväst 2	
Apelsingatan 15 förskola i Ur och Skur.pdf	Sydväst område 1	
Apelsingatan 15 i Ur och Skur	Västra Göteborg område 1	
Äppelviken	Hisingen område 2	
Aprilgatan 2A förskola.pdf	Nordost område 2	
Aprilgatan 2A.pdf	Nordost område 2	
Aprilgatan 2B förskola.pdf	Nordost område 2	
Aprilgatan 2B.pdf	Nordost område 2	
Arken.pdf	Fristående förskolor	
Askim-Frölunda-Högsbo	Kommunala förskolor	
Askims Montessoriförskola	Fristående förskolor	
Askims Montessori fsk	Fristående förskolor	
Askims Montessori fsk.pdf	Fristående förskolor	
Aspen	Hisingen område 1	
Astra	Östra Göteborg område 1	
Ateljen	Västra Göteborg område 1	
Aurora	Östra Göteborg område 1	
Avdelning 1	Hisingen område 1	
Avdelning 2	Hisingen område 1	
Avdelning 3	Hisingen område 1	
Äventyrarna Grön	Hisingen område 1	
Äventyrarna Lila	Hisingen område 1	
Äventyret	Västra Göteborg område 1	
Babord	Västra Göteborg område 1	
Backa pastorat	Fristående förskolor	
Baldersplatsen 2 förskola	Centrum	
Ballongen	Fristående förskolor	
Barnlåten föräldrakooperativ.pdf	Fristående förskolor	
Bärnsten	Hisingen område 1	
Bärnstenen	Hisingen område 1	
Basilika	Centrum område 1	
Båten	Västra Göteborg område 2	
Bergaborgens föräldrakooperativ.pdf	Fristående förskolor	
Bergatrollet	Centrum område 2	
Bergsgårdsgärdet 39 förskola (3-5 år)	Nordost 1	
Bergsgårdsgärdet 39 förskola 3-5 år.pdf	Nordost område 1	
Bergsgårdsgärdet 46 förskola (1-2 år)	Angered	
Bergsgårdsgärdet 54 förskola (1-2 år)	Angered	
Berguven 4 förskola	Sydväst område 1	
Berguven 4 förskola.pdf	Sydväst område 1	
Beväringsgatan 3 förskola	Nordost område 1	
Beväringsgatan 3 förskola.pdf	Nordost område 1	
Beväringsgatan 3.pdf	Nordost område 1	
Björlanda Församling	Fristående verksamheter	
Björnidet	Östra Göteborg område 1	
Blåbär	Västra Göteborg område 1	
Bläckfisken Blå	Hisingen område 1	
Bladet	Västra Göteborg område 2	
Blåklinten	Centrum område 2	
Blåklockan	Västra Göteborg område 2	
